Name,Products,Brand,Color,Price,Size,Formula,Ingredients,About,URL
RadiantGlow Foundation,Foundation,Luminous Beauty,Light Ivory - Light with cool undertones,45,30.0 ml,Liquid,"Water,Glycerin,Titanium Dioxide,Dimethicone,Aloe Vera",A radiant finish foundation that provides medium coverage with a natural glow. Perfect for all skin types.,https://lh3.googleusercontent.com/pw/AP1GczMKf0c1qLDV3wI6kevBeNQHQOBmUim-UM0u9S7gK5QfCkg6pZTpy1uoMU_cWpsd70_WPaovwVfGzucinVby2bFWnm5TOCvGHiZQptXi8rtSoPIkJKlA-i4rDCsUVTXUuN3VmjToLpQzEqK3M-nlaEza=w609-h913-s-no-gm?authuser=1
RadiantGlow Foundation,Foundation,Luminous Beauty,Medium Beige - Medium with neutral undertones,45,30.0 ml,Liquid,"Water,Glycerin,Titanium Dioxide,Dimethicone,Aloe Vera",A radiant finish foundation that provides medium coverage with a natural glow. Perfect for all skin types.,https://lh3.googleusercontent.com/pw/AP1GczNNrl3XtMXaQwiGcSUcGxehyflDn4D65KkmyQDB-TmVy4R2sBDDSk-kJ0lUrA57Ko73LCYX2TVK0ejQJneB9QCEWhuW_kfVjvK-ba6u0ZOW42PY7xHF2-Kur9oz1QGwRtXEB2CX9OwyEnNMAwsrgsFx=w609-h913-s-no-gm?authuser=1
RadiantGlow Foundation,Foundation,Luminous Beauty,Deep Cocoa - Dark with rich undertones,45,30.0 ml,Liquid,"Water,Glycerin,Titanium Dioxide,Dimethicone,Aloe Vera",A radiant finish foundation that provides medium coverage with a natural glow. Perfect for all skin types.,https://lh3.googleusercontent.com/pw/AP1GczPjHv_DDpd4_q6bPZWP-aAZYe4NaE03cDTRG6Z0xXpKwp0albpB5s09IHOHa_tIfXW4ojwUpFjZLE3zpWp5eh1_uaFs_v2f9ptrExZHaFMv-CfSVtPrc-yGsQ2NemCcYf_QnjJm4-_ATo37lA-TVOaz=w609-h913-s-no-gm?authuser=1
VelvetTouch Foundation,Foundation,Smooth Finish,Porcelain Silk - Light with neutral undertones,39,25.0 ml,Powder,"Talc,Mica,Silica,Jojoba Oil,Vitamin E",A powder foundation with a velvety texture that provides buildable coverage and a soft-matte finish.,https://lh3.googleusercontent.com/pw/AP1GczO3gYFmFEKOlyhRRzXkJAeziau6E0Gc1hexNQtqbZ-TUccFMELAkkHs34hMeJqJ-Rnv_3IE-md-Fyp-vvzeF1NijrFGnlQf3dXa-ITUvQh129TG4xrs8CXxju69CZJrSHfIpYZyq5K9Pi7ze1XrcUHr=w1141-h913-s-no-gm?authuser=1
VelvetTouch Foundation,Foundation,Smooth Finish,Honey Gold - Medium with warm undertones,39,25.0 ml,Powder,"Talc,Mica,Silica,Jojoba Oil,Vitamin E",A powder foundation with a velvety texture that provides buildable coverage and a soft-matte finish.,https://lh3.googleusercontent.com/pw/AP1GczPSqOntaOjwfs_WckQEmAgO-UCZweR-uvoGBUPxRN5GYQ0SaUzgTZyYQH-GKRsLqjflNqeWPq4QQqs2a24rvnnYbbxk_0N6ldqte4exdiMJAHB6kiV0VZdv9cJHaUfmITMCY4m2C7sJU_se0KSg9Ly4=w1141-h913-s-no-gm?authuser=1
VelvetTouch Foundation,Foundation,Smooth Finish,Espresso Deep - Dark with neutral undertones,39,25.0 ml,Powder,"Talc,Mica,Silica,Jojoba Oil,Vitamin E",A powder foundation with a velvety texture that provides buildable coverage and a soft-matte finish.,https://lh3.googleusercontent.com/pw/AP1GczNaDVvTQYcQhzoB0yGzdxy9-H072CXWGDTYeM13afNq0ne-3jXU3wboARVdYK_hL4dH4qumJU5rEUXMGa7xZYrlvPdD76A7hLJsGmdU0QyYRJv79bnOjVND14LGzmdLeQl-s1GGtxw_zR6Ohi0VuOaT=w1141-h913-s-no-gm?authuser=1
EcoBlend Foundation,Foundation,Nature Essence,Alabaster Light - Light with warm undertones,42,35.0 ml,Cream,"Water,Beeswax,Coconut Oil,Shea Butter,Chamomile Extract",A cream foundation made with natural ingredients for a flawless and hydrating coverage.,https://lh3.googleusercontent.com/pw/AP1GczODJpHayW2g58TJI_FWvtCjUK9dfqe6ThAZFqMAbITATpySc224jDd58lFoq118GGnFWXbV8fBVyI_U4tTpEmbwAE3ACVaIubKR-NVpt7n90pNWc67GBjRxTPDrrOOWUh0z-tuoAHF5jiGOphfZhn42=w913-h913-s-no-gm?authuser=1
EcoBlend Foundation,Foundation,Nature Essence,Sunlit Bronze - Medium with golden undertones,42,35.0 ml,Cream,"Water,Beeswax,Coconut Oil,Shea Butter,Chamomile Extract",A cream foundation made with natural ingredients for a flawless and hydrating coverage.,https://lh3.googleusercontent.com/pw/AP1GczNf3XT1f0_oJ8vNq26GR2I9tBXJu2dMeOUX4m2N6bDYIAA7d5osBIxcUAGlsrxUlR4G7sxjunGFfDkrW5res0S7zSvx74FzPsPcquaYJb0d6Li_JyDW9XpWspQzHy4UhYQ3KuJUqwpxqEn2Ni9esjsV=w913-h913-s-no-gm?authuser=1
EcoBlend Foundation,Foundation,Nature Essence,Mocha Magic - Dark with rich undertones,42,35.0 ml,Cream,"Water,Beeswax,Coconut Oil,Shea Butter,Chamomile Extract",A cream foundation made with natural ingredients for a flawless and hydrating coverage.,https://lh3.googleusercontent.com/pw/AP1GczOn1vunJSq8Lwe_P5FyS2DxE7AUGJUoNbHOHp7uGYeehGw_J2JBPUpEeKBTpU5dKvkBrt7AKBrpcOVIp7PDqZT11XlQMR-LUE0GZEHg47vXXYTCGn4UGQJAXyFIuU5LmASWm6Ii28OjvN573qHJTn1i=w913-h913-s-no-gm?authuser=1
SilkRadiance Foundation,Foundation,Glamour Glow,Petal Fair - Light with rosy undertones,49,30.0 ml,Liquid,"Water,Cyclopentasiloxane,Glycerin,Dimethicone,Hyaluronic Acid",A liquid foundation that provides a silky smooth finish with long-lasting hydration and coverage.,https://lh3.googleusercontent.com/pw/AP1GczP70QtGo0F9dm91_8GiMQNgJVsK0LvYxPzSwSiZnXh7BnhGous9OIYfpP0Vl82BnA33lDk3bGbmKDssaPR3W631DzTzw9gZrEFlJBSuDTuXUOxTTCJZn9GOMkj1gVlS0PQ8AQXH__K5BuBDsLCuxjm0=w1368-h913-s-no-gm?authuser=1
SilkRadiance Foundation,Foundation,Glamour Glow,Honey Glow - Medium with warm undertones,49,30.0 ml,Liquid,"Water,Cyclopentasiloxane,Glycerin,Dimethicone,Hyaluronic Acid",A liquid foundation that provides a silky smooth finish with long-lasting hydration and coverage.,https://lh3.googleusercontent.com/pw/AP1GczOHvfkzddMWriqATQ28EXWdKlM89vpNhQ9YoFM39OD_SlYviTjp4pwPqTd2Pjk2EyiNmfD8TTuxodBxMNuvVZP776v_oDe5x-WTrOvFsr0zsw1iKbi7ORb5tPFZtU_vL1wVOKB1Tbz48oC7xae5Ye-v=w1368-h913-s-no-gm?authuser=2
SilkRadiance Foundation,Foundation,Glamour Glow,Deep Cocoa - Dark with neutral undertones,49,30.0 ml,Liquid,"Water,Cyclopentasiloxane,Glycerin,Dimethicone,Hyaluronic Acid",A liquid foundation that provides a silky smooth finish with long-lasting hydration and coverage.,https://lh3.googleusercontent.com/pw/AP1GczO_rXOtwDVsRdRzLfabiz-Ywjycs4W6c1Qltn8YtGVbO6e0gfL2X4Y82Sxcb-l21VWeTKG_cft2UNQ4b0KXTSrMvQ36MeMgAC0A-yqvc1qW0YR51x8R4izBwhFyWN_C_mSq1S1J0kjAa8aFGkAX07Fc=w1368-h913-s-no-gm?authuser=1
GlowFusion Foundation,Foundation,Radiant Charm,Ivory Light - Light with neutral undertones,38,30.0 ml,Powder,"Talc,Mica,Silica,Argan Oil,Vitamin C",A powder foundation with a glowing finish that provides buildable coverage and a luminous look.,https://lh3.googleusercontent.com/pw/AP1GczOaWhl1Bjt7YVouwjt2OcSGqYFkhGn6bY3tyvEkqWDl8f2xhEX-CJ8HMXt2bWVbBClb77hamsPxQUKMUjAzgZwp3XTxqn7bkWvvaRAKuKVqJlE-2J-XEfsgv2EnNuC1k3QkChb30ZP-LEQq-yEwHUjM=w1363-h913-s-no-gm?authuser=1
GlowFusion Foundation,Foundation,Radiant Charm,Golden Sand - Medium with warm undertones,38,30.0 ml,Powder,"Talc,Mica,Silica,Argan Oil,Vitamin C",A powder foundation with a glowing finish that provides buildable coverage and a luminous look.,https://lh3.googleusercontent.com/pw/AP1GczOnOJHMJvso52dyjnCn_Z3BTDjkfYduA_icBC_36mQRrG0lmIyPjd9ClMnlDoPXFprIMPwsqZ3yCuqFSYrxM2-hmet5LzZvPPnJm8HrB92__HkPqHamdNASRTmhd6dnMnIzLpINGRMIJXvSlDlJXid7=w1363-h913-s-no-gm?authuser=1
GlowFusion Foundation,Foundation,Radiant Charm,Chocolate Velvet - Dark with rich undertones,38,30.0 ml,Powder,"Talc,Mica,Silica,Argan Oil,Vitamin C",A powder foundation with a glowing finish that provides buildable coverage and a luminous look.,https://lh3.googleusercontent.com/pw/AP1GczM1zE7NQYQkfk0P_o0gCieDIh37Ehdzhu0D17jIZn7ALykXRpIwWc2Xte7kJNIRXZHk6TsPbzMLwO_2o7VNYfP7opXNgZorcb7KV-HW6T7OQNjRtrdVDIPy187r5gmaONml6_j8jaBhVbII1K2Jw8sT=w1363-h913-s-no-gm?authuser=1
PetalKiss Lipstick,Lipstick,Blush Beauty,Soft Pink - Pink with cool undertones,25,4.0 g,Cream,"Castor Oil,Beeswax,Candelilla Wax,Shea Butter,Vitamin E","A creamy lipstick that provides long-lasting color and hydration, perfect for everyday wear.",https://lh3.googleusercontent.com/pw/AP1GczOFPMcwugNGaSrqi6wSWfcrFG-OWGHezGhaZFHviRAgjRAW7WlJ43A_z3gaM6neJPZSkd0JtAF32rH1LHyA1gVot65ADPw0N27ad9UZ_c-AKPV0XYgWmR7s1J0STuifySzjGZMxpXY0h8f-ulPlXnXM=w406-h913-s-no-gm?authuser=1
PetalKiss Lipstick,Lipstick,Blush Beauty,Ruby Red - Red with warm undertones,25,4.0 g,Cream,"Castor Oil,Beeswax,Candelilla Wax,Shea Butter,Vitamin E","A creamy lipstick that provides long-lasting color and hydration, perfect for everyday wear.",https://lh3.googleusercontent.com/pw/AP1GczPPFGiFzSxTBpG4GJq30FFvMUtvAOUwGFS0KBAxBFTYByeiCYBKuKrba98ioROviMbLIc8QO2eledhYhy8oRTiRdU9Nsd_R1VtCHL9SAdYhyly5g6DtTk-TgofiC2uxiFSjHGseAI0NTx9eIxTA2mxp=w406-h913-s-no-gm?authuser=1
PetalKiss Lipstick,Lipstick,Blush Beauty,Berry Burst - Purple with rich undertones,25,4.0 g,Cream,"Castor Oil,Beeswax,Candelilla Wax,Shea Butter,Vitamin E","A creamy lipstick that provides long-lasting color and hydration, perfect for everyday wear.",https://lh3.googleusercontent.com/pw/AP1GczOUF8Ro4SU6S_8tCbpA2AGFMEYA1jsR-rd4wUwl91O330DOWSslfMWS4aiCi3axoe6BmCdqM7K2JDXoZWS9cvTYwUji52T2fo_HktGJK1VhCoFXf6VXLJUvuEpJZfczeTYeHRFDdzjgEpTECqf3xuZO=w406-h913-s-no-gm?authuser=1
VelvetLuxe Lipstick,Lipstick,Luxury Lips,Peony Pink - Pink with neutral undertones,29,3.5 g,Cream,"Coconut Oil,Carnauba Wax,Jojoba Oil,Vitamin C,Hyaluronic Acid","A luxurious cream lipstick that offers intense color payoff with a smooth, velvety finish.",https://lh3.googleusercontent.com/pw/AP1GczNiQJoJjMxuO3_G_XZ33NgaHfJ5bHLtD7hcaIQDmVFOb35hXeiImhMOKuGnEEGUZc3m-3D_oXZhUIYrmB8oiSCyMSa25rf_9xa4pGv3NOKorxLNz9gUEwgGVb6zxSzaPdYJF52SlMSu9IcSwlwuk32O=w638-h913-s-no-gm?authuser=1
VelvetLuxe Lipstick,Lipstick,Luxury Lips,Scarlet Silk - Red with cool undertones,29,3.5 g,Cream,"Coconut Oil,Carnauba Wax,Jojoba Oil,Vitamin C,Hyaluronic Acid","A luxurious cream lipstick that offers intense color payoff with a smooth, velvety finish.",https://lh3.googleusercontent.com/pw/AP1GczOMPhvZy3talabol2Ob9t_iAHmEJoxGhqkXgVs22iib2RKenig0SaAHnPtfanId-7Qs0Sck2GqYFqIryqbnwZUdpamTiDt-kg_K2aiP17ijCcxQ9m2XJmjTUeB79wajmUHickmqFT_fP6PS8YKDF2UH=w638-h913-s-no-gm?authuser=1
VelvetLuxe Lipstick,Lipstick,Luxury Lips,Plum Passion - Purple with rich undertones,29,3.5 g,Cream,"Coconut Oil,Carnauba Wax,Jojoba Oil,Vitamin C,Hyaluronic Acid","A luxurious cream lipstick that offers intense color payoff with a smooth, velvety finish.",https://lh3.googleusercontent.com/pw/AP1GczOo3R56ctymjnrOpmgzV1zh9uOK1HsePG6G5HKsfbPNKjMGdJnNK3HxnQMYVFwdd-EYB_Gby-P0Bi_pv9LKqfo68lI8145iHpQ_x2z0nNjxQS04qewpJsCEIZhBIJlUA9hC4JndJ-gQxTajAA28lpzR=w638-h913-s-no-gm?authuser=1
EcoGlam Lipstick,Lipstick,Nature's Charm,Rose Petal - Pink with warm undertones,22,4.0 g,Cream,"Beeswax,Coconut Oil,Shea Butter,Vitamin E,Aloe Vera","A natural cream lipstick made with eco-friendly ingredients, providing vibrant color and nourishment.",https://lh3.googleusercontent.com/pw/AP1GczOZQVXDCyIYuo0UNh6FRS9XSlFK2BhSbA85m23tGAxEGx8Q_6h2BHVNKl3n_FUVR9znlQmWs1dmLvLvShD59Fpars3COAkVWfqWaLH0poiixlwkkssr03UB-rXDq2C5rbc-0gZyxXvTaHFLcgs0bvjI=w730-h913-s-no-gm?authuser=1
EcoGlam Lipstick,Lipstick,Nature's Charm,Cherry Red - Red with neutral undertones,22,4.0 g,Cream,"Beeswax,Coconut Oil,Shea Butter,Vitamin E,Aloe Vera","A natural cream lipstick made with eco-friendly ingredients, providing vibrant color and nourishment.",https://lh3.googleusercontent.com/pw/AP1GczMrD0VM6wV__nYsrbLNYjAl7_ryEfrcfo_nv6edPgI3e_Qrqe35sM1TCqk21qVmR_eGj8jatf3c7iChdSnosf-OpXqDjnn72QNh-1j6pdLdp33uPGxL4Naf-O1vsAhT67Qgz08MUwfkm6aEo1JI1mQM=w730-h913-s-no-gm?authuser=1
EcoGlam Lipstick,Lipstick,Nature's Charm,Grape Bliss - Purple with cool undertones,22,4.0 g,Cream,"Beeswax,Coconut Oil,Shea Butter,Vitamin E,Aloe Vera","A natural cream lipstick made with eco-friendly ingredients, providing vibrant color and nourishment.",https://lh3.googleusercontent.com/pw/AP1GczNY2lAFK8EPhEY-Ncx9CSan1Rfq4zYF_-KsIrSaIYEzayFDABdGh3nRzwQhxF5d2bl8d5MxqiRtNQ8Ju7qt-WRrM2SRUfSwWJdDWWybfE-An2NH6iyjrIyFYCqUIVu0e1zyCI0quUXiGmF7D8gTutj1=w730-h913-s-no-gm?authuser=1
LiquidSatin Lipstick,Lipstick,Urban Chic,Carnation Pink - Pink with bright undertones,27,5.0 ml,Liquid,"Isododecane,Dimethicone,Hydrogenated Polyisobutene,Avocado Oil,Vitamin A",A liquid lipstick with a satin finish that provides full coverage and long-lasting wear.,https://lh3.googleusercontent.com/pw/AP1GczP75n2MPDOcSIWFvK1Ion9UhZu0U75yaYFiYt8o5mKJVt_8hDplAQMnhIV03Sytdf5F9vVBgEak-4k_7UFVS1fP-nJc8sgwwgv54TInR-Gr2UhBx18cZZsPF0Om50quUzU9OhHQj-qlPrT8D_OawlBD=w744-h913-s-no-gm?authuser=1
LiquidSatin Lipstick,Lipstick,Urban Chic,Crimson Velvet - Red with deep undertones,27,5.0 ml,Liquid,"Isododecane,Dimethicone,Hydrogenated Polyisobutene,Avocado Oil,Vitamin A",A liquid lipstick with a satin finish that provides full coverage and long-lasting wear.,https://lh3.googleusercontent.com/pw/AP1GczMCDVMZEKZZroXZgYGNnnF3SsQ-SSWtAdsw3-KWOKzF9RJCy6OGTqmeW1hTlvIY_8tUX2lS3kQKKSXYi5reBfaibvk8g5dGMSgUnGx7Kc8VOvKbveAclXBGzVWPQolKbuuRaOVx5NZ6levO3fsIPFzt=w744-h913-s-no-gm?authuser=1
LiquidSatin Lipstick,Lipstick,Urban Chic,Orchid Dream - Purple with bold undertones,27,5.0 ml,Liquid,"Isododecane,Dimethicone,Hydrogenated Polyisobutene,Avocado Oil,Vitamin A",A liquid lipstick with a satin finish that provides full coverage and long-lasting wear.,https://lh3.googleusercontent.com/pw/AP1GczM96_mpc-560V6e052loorILmyY1cWrxkWWg4AMNI_TFsV6fhjwJ5yYiS94qxkOYxQkXz3CR08xIx0kow1MNNEuYOtjoh3SAkcd5BDkkgzmbaNz5jcMaJjdbQY7W1qI87Qo0h0TH9UYpdCv1Lcr5M2C=w744-h913-s-no-gm?authuser=1
MatteMystique Lipstick,Lipstick,Enchanté,Blush Pink - Pink with soft undertones,24,3.0 g,Cream,"Kaolin,Beeswax,Vitamin E,Shea Butter,Jojoba Oil","A matte cream lipstick that delivers high-pigment color with a comfortable, non-drying finish.",https://lh3.googleusercontent.com/pw/AP1GczMz8g3pkzojSLZIiiBskDQ6WliRBTUrtRROR7VsNx_0zxH5UW2ypZpSjdWDZ6IeAeB-riFmjl6iDGyGWKXI8_ORux035tcFiciYNHvHWkGbCtdqtYOISZJPqe4MLPW8hpjeQ4Ylvvl8x7nrhNjxyb7Z=w609-h913-s-no-gm?authuser=1
MatteMystique Lipstick,Lipstick,Enchanté,Fiery Red - Red with bold undertones,24,3.0 g,Cream,"Kaolin,Beeswax,Vitamin E,Shea Butter,Jojoba Oil","A matte cream lipstick that delivers high-pigment color with a comfortable, non-drying finish.",https://lh3.googleusercontent.com/pw/AP1GczMhlI_cZ4_k0oo-gLKEwT7-gsOXWNPhXtJUNThpXEuZR_idLXHTXDsI_kkVelAerh2cham_qbtKMh9P1UZc5apS7iBoSP5jhQdBkbHbqmDot-KxnCqP5oYo5iGHAT7L1v_fP2dHgau91EWScASQkCPH=w609-h913-s-no-gm?authuser=1
MatteMystique Lipstick,Lipstick,Enchanté,Violet Spell - Purple with mystical undertones,24,3.0 g,Cream,"Kaolin,Beeswax,Vitamin E,Shea Butter,Jojoba Oil","A matte cream lipstick that delivers high-pigment color with a comfortable, non-drying finish.",https://lh3.googleusercontent.com/pw/AP1GczMU4CGPYFt1KJvNn-O6TrgxT7fFAofeatHpZ7oQ0EOy6uimmIiTl5B0ZJWJzTqRhzk3VOfSpoak2ncuNJdBmtpGjvKYjlzX2K5HF66tFmljCYAsPqbD1ziIML-ViaxqiClrLMFi3MOF_IZYa899nwuv=w609-h913-s-no-gm?authuser=1